Year,Month,Longitude,Latitude
2017.0,8.0,-0.1321222,39.7979847
2017.0,4.0,-81.0228331,29.2108147
2017.0,1.0,-82.731589,35.232996
2016.0,12.0,149.909846,-36.8882027
2016.0,6.0,-77.0580759,34.6554744
2016.0,6.0,115.7091824,-31.6897332
2016.0,3.0,-80.03754,26.78506
2016.0,2.0,6.769298,52.294415
2016.0,1.0,-156.4431133209012,20.68256325
2015.0,10.0,7.409603,50.120037
2015.0,9.0,-120.229162,34.474278
2015.0,7.0,153.4312097,-29.1174093
2015.0,7.0,-118.0000166,33.6783336
2015.0,6.0,-80.46341107493865,32.35187585
2015.0,1.0,-80.24648,25.701551
2014.0,10.0,-70.9073431224734,42.42180315
2014.0,5.0,11.480387158841468,48.78268135
2014.0,4.0,-80.6102592,28.3194741
2014.0,1.0,-0.539695,52.397125
2013.0,8.0,-90.4309615,42.3225125
2013.0,5.0,-81.0557921,29.2854132
2013.0,5.0,55.22255864346492,-21.0571347
2013.0,4.0,-80.9271271,29.0258132
2012.0,10.0,-120.47076,34.663885
2012.0,6.0,142.995366,-38.6196293
2012.0,4.0,-80.5662467,28.0914926
2012.0,3.0,173.855077,-39.453627
2012.0,3.0,35.69086,27.351896
2012.0,1.0,-75.61499318805444,24.3385
2012.0,1.0,151.70594032820765,-33.014721300000005
2011.0,12.0,-80.0942087,26.9342246
2011.0,10.0,115.520527090648,-32.007009499999995
2011.0,10.0,144.98416543893674,-37.889731
2011.0,10.0,-80.52662,28.45077
2011.0,7.0,-75.92190229748437,35.1283086
2011.0,7.0,-75.5736766,9.8971118
2011.0,2.0,-83.8074003,33.8176114
2010.0,11.0,34.3698811,27.9296631
2010.0,11.0,34.3698811,27.9296631
2010.0,8.0,-80.83783,28.9491539
2021.0,9.0,-73.31060957489385,44.7877578
2021.0,8.0,-60.93605535048172,46.2950327
2020.0,7.0,-77.93820542460928,35.280270650000006
2020.0,5.0,6.1238345,45.0179363
2019.0,8.0,-81.3931396,30.2946859
2019.0,5.0,-156.6919043,20.9481316
2019.0,5.0,55.2881932,-21.1677694
2019.0,2.0,153.5963962,-28.6462405
2018.0,9.0,177.33608248343887,-16.960727499999997
2018.0,9.0,-81.3931396,30.2946859
2018.0,9.0,148.956176,-20.351821
2018.0,8.0,-77.34016,26.75221
2018.0,7.0,-81.4625919,30.6696818
2018.0,4.0,24.832916,-34.171676
2018.0,2.0,-90.1915172,42.1291881
2017.0,11.0,12.276247453903562,48.1532156
2017.0,10.0,-76.537712,44.370297
2017.0,7.0,-1.2029747,50.594976
2016.0,12.0,152.52830043393635,-32.24447495
